김사하,68,78,85,72
김진호,89,91,64,91
이하차,60,83,71,100
유림나,88,92,89,87
려바하,87,64,66,86
부화동,72,79,92,76
려우라,81,70,98,98
유차재,92,100,100,79
이차사,79,82,84,100
강림하,67,90,66,89
곽우림,69,80,77,99
최준호,77,89,76,64
적호나,94,86,75,100
오애바,62,89,98,69
고동형,63,86,80,65
왕수라,93,93,73,60
오섭파,85,92,85,97
최진우,62,63,88,95
구하호,73,96,66,81
박형윤,72,62,81,100
박나자,85,87,66,98
구라우,68,62,61,95
손나관,84,90,76,89
적우애,82,83,61,91
고마진,94,68,87,68
오자관,88,63,88,73
려해우,81,75,80,92
고우준,60,88,62,98
부라마,100,99,94,95
곽다우,81,77,61,95
최카동,84,85,65,99
손해차,69,77,88,88
유마수,71,93,84,62
적순준,84,91,72,86
유림필,70,92,78,84
려다파,95,67,73,85
박순진,77,91,99,68
오카해,90,84,85,72
곽자카,69,74,85,87
김순필,92,89,96,85
양아식,91,70,72,69
박바영,71,68,67,82
오애자,61,95,99,77
최동순,84,62,61,89
오동바,94,97,82,93
김우나,79,80,94,82
고형수,95,78,95,88
양자파,93,82,78,60
고해화,69,86,67,92
강하재,64,80,84,78
오사애,90,87,65,71
고우파,77,98,90,66
유사해,78,76,100,87
손파아,81,82,61,65
려길석,73,86,94,70
오호필,99,65,80,69
유석진,78,90,62,84
이차식,89,77,75,94
적림우,66,60,80,68
최식필,89,86,90,61
려식형,88,96,68,68
오필석,77,76,67,90
왕섭애,72,97,71,88
유차카,61,64,69,63
오관순,99,85,96,97
유형동,75,67,82,89
오형수,100,75,74,100
이다마,97,91,64,88
김차해,77,88,81,100
왕아가,82,82,72,72
최순필,96,64,77,82
오형진,81,80,85,75
유마형,74,83,83,86
김준순,81,66,97,63
손진바,92,80,81,60
이애준,62,68,96,82
정해석,63,78,97,94
강필다,70,78,74,97
김진진,79,70,73,67
유호사,94,74,88,82
박사나,76,95,70,65
려관화,60,89,77,87
고라파,64,88,79,65
유마식,65,62,71,96
려카애,90,60,84,64
유해순,60,97,93,84
이재진,69,64,92,60
양차수,78,74,72,71
곽파길,78,88,79,69
강호호,85,60,95,77
박호진,66,62,81,81
최형하,71,67,97,68
왕재윤,69,87,97,65
박영나,73,79,69,94
려우파,63,73,94,96
이석관,61,82,61,62
강타재,79,75,94,75
김식수,68,77,74,66
구카라,63,99,69,81
구다나,82,72,87,64
